n_estimators,max_depth,max_features,min_samples_split,min_samples_leaf,acc_train,acc_test,f1_train,f1_test,n_features_
200,64.0,sqrt,5,5.0,0.8848470554083965,0.8577648766328012,0.6006206587294446,0.5826670274552533,324
200,,sqrt,2,5.0,0.8849014840886824,0.8574020319303338,0.6006695464593312,0.5823417465233841,324
200,,sqrt,5,5.0,0.8849014840886824,0.8574020319303338,0.6006695464593312,0.5823417465233841,324
100,32.0,sqrt,2,5.0,0.8796944736746616,0.8568214804063861,0.5967002796269268,0.5819715874104151,324
100,32.0,sqrt,5,5.0,0.8796944736746616,0.8568214804063861,0.5967002796269268,0.5819715874104151,324
100,,sqrt,2,5.0,0.8844116259661091,0.8567489114658926,0.600344908130541,0.5819656766410359,324
100,,sqrt,5,5.0,0.8844116259661091,0.8567489114658926,0.600344908130541,0.5819656766410359,324
100,64.0,sqrt,2,5.0,0.8842483399252513,0.8567489114658926,0.6002172817241169,0.5819544247424558,324
100,64.0,sqrt,5,5.0,0.8842483399252513,0.8567489114658926,0.6002172817241169,0.5819544247424558,324
300,,sqrt,2,5.0,0.8847381980478247,0.8578374455732947,0.6005789253802398,0.5781025315674151,324
300,,sqrt,5,5.0,0.8847381980478247,0.8578374455732947,0.6005789253802398,0.5781025315674151,324
300,64.0,sqrt,2,5.0,0.8846656264741101,0.8576197387518142,0.6005095187333203,0.5779322798607393,324
300,64.0,sqrt,5,5.0,0.8846656264741101,0.8576197387518142,0.6005095187333203,0.5779322798607393,324
300,32.0,sqrt,2,5.0,0.8800573315432345,0.8566763425253991,0.5969458322631439,0.5770564288141548,324
300,32.0,sqrt,5,5.0,0.8800573315432345,0.8566763425253991,0.5969458322631439,0.5770564288141548,324
200,32.0,sqrt,2,5.0,0.879168329765231,0.8560232220609579,0.596218073619965,0.5765542227494687,324
200,32.0,sqrt,5,5.0,0.879168329765231,0.8560232220609579,0.596218073619965,0.5765542227494687,324
300,,sqrt,2,10.0,0.8645995863420298,0.8486937590711175,0.5678295479815268,0.5557205727507536,324
300,,sqrt,5,10.0,0.8645995863420298,0.8486937590711175,0.5678295479815268,0.5557205727507536,324
300,64.0,sqrt,2,10.0,0.8645995863420298,0.8486937590711175,0.5678295479815268,0.5557205727507536,324
